|name|,|id_str|,|text|,|created_at|,|place|
|MLP_officiel|,|673768762596851712|,|"Nos résultats dans les villes que nous gérons démontrent qu'essayer le @FN_officiel, c'est l'adopter !" #RTLMatin|,|2015-12-07 07:39:25|,||
|MLP_officiel|,|673768622406426624|,|"Le PS s'effondre, et se suicide. Le Parti socialiste, c'est un peu la secte du temple solaire depuis hier soir !" #RTLMatin|,|2015-12-07 07:38:52|,||
|MLP_officiel|,|673768414083698688|,|"Il y a une incroyable dynamique en faveur du @FN_officiel, et un très faible score de l'UMP." #RTLMatin|,|2015-12-07 07:38:02|,||
|MLP_officiel|,|673616048256630784|,|Retrouvez mon allocution de ce soir à #HéninBeaumont : https://t.co/7UhBsp8Z0T #Régionales2015 #NPDCP|,|2015-12-06 21:32:35|,||
|MLP_officiel|,|673589868958777344|,|Bravo aux électeurs patriotes de #NPDCP qui font naître un immense espoir pour la région et pour la France ! MLP|,|2015-12-06 19:48:34|,||
|MLP_officiel|,|673586459996266497|,|"Vive la République française ! Et vive la France !" #régionales2015|,|2015-12-06 19:35:01|,||
|MLP_officiel|,|673586421932912641|,|"Nous le voyons une fois encore : c’est le peuple français qui est une chance pour la France !" #régionales2015|,|2015-12-06 19:34:52|,||
|MLP_officiel|,|673586376567336960|,|"Dimanche prochain, pas une voix ne doit manquer pour votre région, confirmez et amplifiez votre vote d’aujourd’hui." #régionales2015|,|2015-12-06 19:34:41|,||
|MLP_officiel|,|673586316114796544|,|"Rien ne pourra entraver la volonté profonde du peuple." #régionales2015|,|2015-12-06 19:34:27|,||
|MLP_officiel|,|673586281620897792|,|"Dans ma région, les électeurs ont exprimé une volonté claire d’alternance à un système à bout de souffle." #régionales2015|,|2015-12-06 19:34:18|,||
|MLP_officiel|,|673586196115755008|,|"Tous les Français ont leur place, à nos côtés, dans ce grand mouvement de redressement populaire et national." #régionales2015|,|2015-12-06 19:33:58|,||
|MLP_officiel|,|673586164520099841|,|"J’appelle tous les électeurs qui se sentent avant tout patriotes à tourner le dos à cette classe politique qui les trompe." #régionales2015|,|2015-12-06 19:33:50|,||
|MLP_officiel|,|673586141883473921|,|"Nous avons  vocation à réaliser l’unité nationale dont le pays a besoin." #régionales2015|,|2015-12-06 19:33:45|,||
|MLP_officiel|,|673586117145440256|,|"Les nationaux ont vocation à rassembler les Français, de toutes origines, dans un grand projet collectif." #régionales2015|,|2015-12-06 19:33:39|,||
|MLP_officiel|,|673586089983086592|,|"Chacun doit avoir à l'esprit qu'il n'y aura aucun  si on ne change pas les façons de gouverner." #régionales2015|,|2015-12-06 19:33:33|,||
|MLP_officiel|,|673586057691144192|,|"Chacun doit avoir à l’esprit qu’il n’y aura aucun changement si on ne change pas les hommes." #régionales2015|,|2015-12-06 19:33:25|,||
|MLP_officiel|,|673586019741147136|,|"Le FN s'appuiera sur les valeurs fondatrices de l'Etat : la liberté, l’égalité la fraternité, la laïcité." #régionales2015|,|2015-12-06 19:33:16|,||
|MLP_officiel|,|673585992302010368|,|"Le FN s’appuiera pour ce faire sur la restauration de l’Etat, de ses moyens, de son autorité." #régionales2015|,|2015-12-06 19:33:09|,||
|MLP_officiel|,|673585968297975809|,|"Le FN est le seul à défendre une république qui n'a d'autre vocation que la mise en valeur de nos traditions." #régionales2015|,|2015-12-06 19:33:04|,||
|MLP_officiel|,|673585940754014209|,|"Le FN est le seul à défendre une république qui n'a d'autre vocation que la préservation de nos modes de vie." #régionales2015|,|2015-12-06 19:32:57|,||
|MLP_officiel|,|673585914967379968|,|"Le FN est le seul à défendre une république qui n'a d'autre vocation que le développement de l’emploi français." #régionales2015|,|2015-12-06 19:32:51|,||
|MLP_officiel|,|673585891340902400|,|"Le FN est le seul à défendre une République authentiquement française, une république de l'intérêt national." #régionales2015|,|2015-12-06 19:32:45|,||
|MLP_officiel|,|673585836135436291|,|"Le FN est le seul qui remettra à l'honneur les territoires oubliés de nos campagnes". #régionales2015|,|2015-12-06 19:32:32|,||
|MLP_officiel|,|673585786797891585|,|"Le FN est aussi le seul qui pourra reconquérir les territoires perdus de la République." #régionales2015|,|2015-12-06 19:32:20|,||
|MLP_officiel|,|673585749154004992|,|"Le Front national est le seul front véritablement républicain car il est le seul à défendre la nation et sa souveraineté." #régionales2015|,|2015-12-06 19:32:11|,||
|MLP_officiel|,|673585710012743681|,|"Nous avons confiance dans la clairvoyance et la maturité des citoyens pour s’affranchir des campagnes d’intimidations". #régionales2015|,|2015-12-06 19:32:02|,||
|MLP_officiel|,|673585684876259328|,|"Le peuple français peut être fier de n’avoir pas cédé aux intimidations de féodalités politiques et médiatiques." #régionales2015|,|2015-12-06 19:31:56|,||
|MLP_officiel|,|673585658343137281|,|"Les électeurs ont permis, par leur soutien, ce résultat magnifique que nous accueillons avec humilité et responsabilité." #régionales2015|,|2015-12-06 19:31:50|,||
|MLP_officiel|,|673585625266847744|,|"Nous remercions de cette marque éminente de confiance  tous les militants et les électeurs." #régionales2015|,|2015-12-06 19:31:42|,||
|MLP_officiel|,|673585599627042821|,|"Le mouvement national est désormais sans conteste le premier parti de France." #régionales2015|,|2015-12-06 19:31:36|,||
|MLP_officiel|,|673585566873739265|,|"Ce vote confirme ce que les précédents scrutins avaient annoncé mais que les observateurs ne voulaient pas admettre." #régionales2015|,|2015-12-06 19:31:28|,||
|MLP_officiel|,|673585525014536194|,|"Le peuple s’est exprimé et avec lui la France relève la tête." #régionales2015|,|2015-12-06 19:31:18|,||
|MLP_officiel|,|672874061169623041|,|Je suis ce soir à la #SainteBarbe d'Hénin-Beaumont avec @SteeveBriois. https://t.co/LWyYBpHIYR|,|2015-12-04 20:24:12|,||
|MLP_officiel|,|672832601577639936|,|Les bons sondages, c'est bien... Voter dimanche, c'est mieux ! MLP https://t.co/Zt8lFsHCth|,|2015-12-04 17:39:27|,||
|MLP_officiel|,|672823199084728320|,|Je visitais cet après-midi une hutte de chasse dans l'#Oise avec @MichelGuiniot. #NPDCP https://t.co/NJkXKbsgu7|,|2015-12-04 17:02:05|,||
|MLP_officiel|,|672809995398987776|,|Donc pour @lemondefr la nationalité se définit ethniquement ? Anti-républicain ! 2ème gros dérapage 😃 ! #TweetPrécédent MLP|,|2015-12-04 16:09:37|,||
|MLP_officiel|,|672809960909180928|,|Dans son édito, @lemondefr dit que la priorité nationale fonde une discrimination ethnique. 1/2|,|2015-12-04 16:09:29|,||
|MLP_officiel|,|672809727508770817|,|RT @AloisNavarro: On aimerait que cette amnistie fiscale pr @mediapart vaille pr les petits patrons victimes du RSI de @xavierbertrand http…|,|2015-12-04 16:08:33|,||
|MLP_officiel|,|672790153560199169|,|Voilà le vrai visage de l'UMP-@lesRepublicains: complice de l'installation massive des #migrants dans la région! MLP https://t.co/thHHGS8eLJ|,|2015-12-04 14:50:47|,||
|MLP_officiel|,|672775384178556928|,|ALERTE : @lemondefr dérape et amalgame djihadistes et Islam ! MLP https://t.co/kilyuGdsLd|,|2015-12-04 13:52:05|,||
